GeneSymbol	number_of_variants
AAAS	1
ACOX1	1
ACTA2	1
ACTB	2
ADA2	4
ADAR	1
ADCY5	1
AFF3	1
AGO1	1
AGT	2
AHDC1	1
AHI1	1
AKT3	1
ANKRD11	3
APOB	1
ARF1	1
ARID1A	2
ARID1B	2
ARID2	2
ARSA	2
ASNS	2
ASXL3	3
ATL1	1
ATM	2
ATP1A3	2
ATP7A	1
ATP9A	2
AUTS2	2
BCL11A	2
BCL11B	3
BCS1L	1
BDNF	1
BICRA	2
BRD4	1
C19orf12	2
CA2	1
CACNA1A	3
CACNA1E	1
CACNA1G	2
CACNA2D2	1
CAMK2A	1
CAMK2B	2
CAMTA1	1
CAPN3	2
CARD11	3
CAV3	1
CCDC39	2
CD40LG	2
CELSR3	2
CEP290	1
CHAMP1	1
CHD1	1
CHD2	1
CHD3	2
CHD7	1
CHD8	2
CHKB	2
CHRNE	1
CHRNG	2
CLCN4	2
CLTC	1
CNNM2	1
CNOT1	2
CNOT3	1
CNTNAP2	2
COG1	1
COL2A1	1
COL3A1	1
COL4A1	1
COMP	1
COPA	1
CPT2	2
CRLF1	1
CSNK2A1	1
CSPP1	2
CTCF	1
CTNNB1	2
CTNND1	1
CYFIP2	1
DCLRE1C	1
DDX23	1
DDX3X	6
DEPDC5	3
DHX37	1
DLG3	1
DLGAP1	1
DMD	1
DMRT1	1
DNAJC21	2
DNAJC30	2
DNM1	1
DNMT3A	2
DYNC1H1	3
DYRK1A	4
EBF3	1
EFTUD2	2
EHMT1	2
EP300	2
ERCC8	1
ERF	1
ERI1	2
ETV6	1
EZH2	1
FANCA	2
FBXO11	5
FBXW11	1
FGFR1	1
FGFR2	1
FKBP14	2
FLG	1
FLNB	1
FOXC1	2
FOXF1	1
FOXG1	4
FOXP2	1
FOXP3	1
FZD4	1
GABRA1	2
GABRA2	1
GATAD2B	1
GHR	2
GHRHR	4
GNAS	1
GNB1	2
GNB2	1
GNRHR	2
GRIA2	2
GRIN1	1
GRIN2B	1
GYG1	1
H4C3	1
HBB	2
HEXA	3
HK1	1
HNRNPH2	1
HNRNPK	1
HPDL	1
HSD17B10	1
HSD3B2	4
HUWE1	2
IFIH1	2
IGHMBP2	2
IGSF1	1
IKBKB	1
IKZF1	1
IL7R	1
INF2	1
IQSEC2	1
IRF2BP2	1
ITGA8	1
ITPR1	3
KANSL1	1
KAT6A	1
KAT6B	2
KCNB1	1
KCND3	1
KCNJ2	1
KCNN2	1
KCNT1	1
KDM3B	1
KDM5C	1
KDM6A	2
KIAA0586	2
KIF11	1
KIF2A	1
KIF5A	1
KMT2A	2
KMT2B	2
KMT2D	4
KMT2E	1
KMT5B	3
LAMA1	2
LDHA	1
LGI3	1
LIG4	1
LIPA	1
LMX1B	1
LOX	1
LPIN1	2
LZTR1	3
MACROH2A1	1
MAG	2
MAPK8IP3	1
MAPKAPK5	2
MBTPS1	2
MECP2	7
MED12	1
MEFV	2
MMUT	2
MPV17	2
MT-ATP6	2
MT-ND1	1
MT-ND3	1
MT-ND4	1
MT-ND5	1
MT-TL1	1
MTO1	2
MVK	2
NAA15	4
NALCN	1
NFIA	1
NFIX	1
NFKB2	1
NGLY1	2
NOTCH2	1
NPHS2	2
NR2F1	1
NRXN1	1
NSD1	1
NUP37	2
OAS1	1
OSGEP	2
PAH	1
PAK3	1
PANK2	2
PAPSS2	2
PAX2	1
PBX1	1
PCDH19	2
PDHA1	2
PEPD	1
PHIP	2
PIBF1	2
PIEZO1	1
PIGN	4
PIK3CD	1
PIK3R2	1
PLAA	2
PLCB4	1
PLS3	1
PMM2	2
POGZ	1
POLD1	1
POLR2A	1
POLR3A	5
POLR3B	2
POU3F3	1
PPM1D	1
PPP1R12A	1
PPP2CA	1
PPP2R1A	1
PPP2R5D	1
PQBP1	2
PRPS1	1
PSMB3	1
PSMC3	1
PSMD12	2
PTEN	1
PTPN11	5
PTS	2
PUF60	4
PURA	1
PYCR1	2
RAB3GAP1	1
RAD21	2
RAF1	1
RAI1	1
RASA1	1
RBP4	2
RHOBTB2	1
RICTOR	1
RNASEH2A	2
RORA	1
RORB	1
RSPH1	1
RSPRY1	1
RUNX1	1
SATB1	3
SATB2	3
SBDS	5
SCAF4	2
SCLT1	2
SCN1A	2
SCN2A	4
SCN8A	3
SELENON	3
SEMA6B	1
SERPINA1	1
SETD1A	1
SETD1B	1
SETD2	1
SETD5	2
SHANK3	3
SHH	1
SLC12A5	2
SLC20A2	1
SLC2A1	1
SLC34A3	2
SLC35C1	2
SLC6A8	3
SMARCA5	2
SMARCC2	1
SMC1A	1
SMS	3
SOCS1	1
SON	1
SOS1	1
SOX11	1
SOX4	1
SOX5	2
SPATA5L1	4
SPG7	4
SPTAN1	1
SPTBN2	2
SSR4	1
STAG2	1
STAT3	1
STEEP1	1
STK11	1
STUB1	1
STX1B	1
STXBP1	2
SUOX	1
SUZ12	2
SYNGAP1	3
TAB2	1
TALDO1	2
TANGO2	2
TCF12	1
TCF20	1
TCF4	1
TGFBR2	1
THOC2	1
THOC6	2
THSD1	2
TMEM70	1
TPI1	1
TRAPPC2	1
TRDN	1
TREX1	1
TRIO	2
TRIP12	2
TRMT1	1
TRPM6	2
TRRAP	1
TSHR	1
TTC21B	2
TUBA1A	1
TUBB2A	1
TUBB3	1
TUSC3	2
UBE3A	1
USP9X	2
VPS13B	2
WARS2	2
WDR45	1
WDR73	2
WRN	2
WWOX	1
XIAP	1
ZBTB18	2
ZBTB24	1
ZMYND11	2
ZNF148	2
ZNF292	1
ZNF462	1
